OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b19001d_householdincomeasian,acs_b19001d_householdincomeasian,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001d_householdincomeasian
acs_b19001e_hsehldincomehawaiianpi,acs_b19001e_hsehldincomehawaiianpi,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001e_hsehldincomehawaiianpi
acs_b19001f_householdincomeotherrace,acs_b19001f_householdincomeotherrace,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Some Other Race Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001f_householdincomeotherrace
acs_b19001g_householdincome2races,acs_b19001g_householdincome2races,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Two Or More Races Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001g_householdincome2races
acs_b19001h_hsehldincomewhitenothisp,acs_b19001h_hsehldincomewhitenothisp,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone; Not Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001h_hsehldincomewhitenothisp
acs_b19001i_householdincomehispanic,acs_b19001i_householdincomehispanic,census,2013-2017 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001i_householdincomehispanic
acs_b19013_medianhouseholdincome,acs_b19013_medianhouseholdincome,census,2013-2017 ACS: Median Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19013_medianhouseholdincome
acs_b19019_medianhsehldincomebysize,acs_b19019_medianhsehldincomebysize,census,2013-2017 ACS: Median Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) By Household Size (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19019_medianhsehldincomebysize
acs_b19101_familyincome,acs_b19101_familyincome,census,2013-2017 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101_familyincome
acs_b19101a_familyincomewhite,acs_b19101a_familyincomewhite,census,2013-2017 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101a_familyincomewhite
acs_b19101b_familyincomeblack,acs_b19101b_familyincomeblack,census,2013-2017 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: INCOME subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101b_familyincomeblack
