excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2938669,864551,600,2018-06-22,6,2018,405000,1977,0,-122.1792636,47.46696350000001
2931038,701600,10,2018-05-11,5,2018,460000,1968,0,-122.185508,47.739774
2967339,329861,290,2018-12-17,12,2018,745000,1983,0,-122.1610706,47.29511549999999
2939115,720600,20,2018-06-08,6,2018,650000,1947,0,-122.2280965,47.5882905
2953195,935330,720,2018-09-11,9,2018,455000,1961,0,-122.1339373,47.4896445
2960097,720500,110,2018-10-30,10,2018,435000,1967,0,-122.3402478,47.332733
2925731,243670,990,2018-04-12,4,2018,1427000,1927,0,-122.2871528,47.6673939
2946870,934890,110,2018-08-09,8,2018,998888,1988,0,-122.1879171,47.6643866
2950222,226800,60,2018-08-27,8,2018,258000,1968,0,-122.2994129,47.2744261
2942351,289555,10,2018-07-13,7,2018,370000,2e3,0,-122.2698715,47.3298795
2932534,303420,929,2018-05-22,5,2018,565000,1955,0,-122.337237,47.7225096
2917788,193905,90,2018-02-26,2,2018,735000,1988,0,-122.0376625,47.6221592
2934576,675110,95,2018-05-29,5,2018,769980,1955,0,-122.1354651,47.59016399999999
2951226,384070,285,2018-08-31,8,2018,600000,1963,0,-122.2372267,47.7171677
2959854,565101,60,2018-10-23,10,2018,605000,1988,0,-122.16994,47.7741433
2924349,684070,575,2018-04-05,4,2018,875000,1951,0,-122.2955979,47.6067369
2930357,715340,50,2018-05-11,5,2018,392000,1980,0,-122.3056507,47.2577942
2965558,952310,561,2018-12-05,12,2018,1015003,1918,0,-122.3551064,47.6668482
2954270,402530,280,2018-09-17,9,2018,509140,1946,0,-122.302433,47.7488339
2963616,153230,180,2018-11-24,11,2018,415000,1915,0,-122.3458754,47.6962091
2958309,243620,85,2018-10-15,10,2018,865000,1929,0,-122.2904187,47.6632174
2929582,661000,296,2018-05-05,5,2018,745000,1922,0,-122.3600759,47.6603862
2949324,95200,7150,2018-08-07,8,2018,729950,2018,0,-122.3825122,47.5618571
2934073,721140,1580,2018-05-31,5,2018,539000,1939,0,-122.3564764,47.510435
2954613,182205,9453,2018-09-19,9,2018,665000,2003,0,-122.2128341,47.3888451
2963602,431670,80,2018-11-16,11,2018,925000,1929,0,-122.3949882,47.5381205
2925776,133090,310,2018-04-13,4,2018,870000,1979,0,-122.0299922,47.6502787
2959268,865140,1370,2018-10-18,10,2018,275000,1968,0,-122.082209,47.363181
2922593,666241,200,2018-03-22,3,2018,766000,1977,0,-122.1684859,47.7691615
2935409,751850,6450,2018-05-25,5,2018,1285000,1930,0,-122.3845864,47.6819785
2967506,402410,112,2018-12-10,12,2018,641900,1986,0,-122.3081059,47.758509
2936759,344800,1345,2018-06-12,6,2018,646000,1967,0,-122.3014367,47.7134096
2961358,181880,137,2018-10-24,10,2018,1300000,1956,2013,-122.4081705,47.5715623
2950539,252606,9092,2018-08-24,8,2018,1340000,2007,0,-121.9824234,47.70718489999999
2926077,262173,60,2018-04-20,4,2018,1222000,1999,0,-122.1563773,47.7210768
2940559,405880,655,2018-07-02,7,2018,769000,1953,0,-122.2417368,47.5074378
2929633,723759,250,2018-05-04,5,2018,329000,2004,0,-122.2934332,47.3511231
2945785,102107,9098,2018-07-25,7,2018,355000,1984,0,-121.8961459,47.3261075
2967324,570000,2695,2018-12-17,12,2018,1780000,1928,0,-122.2870788,47.5781418
2953709,952810,3431,2018-09-19,9,2018,850000,2015,0,-122.3224591,47.6782784
2940838,873196,370,2018-06-25,6,2018,417750,1972,0,-122.3839916,47.3132558
2936167,540600,20,2018-06-01,6,2018,885000,1995,0,-122.2290271,47.7095819
2962109,691470,130,2018-11-06,11,2018,805000,1940,0,-122.3188587,47.6996915
2954617,914410,317,2018-09-20,9,2018,730000,1952,0,-122.3722099,47.7013282
2936406,785218,30,2018-06-12,6,2018,632000,2003,0,-121.8561891,47.53067919999999
2931889,801920,823,2018-05-22,5,2018,400000,1960,0,-122.322258,47.49110599999999
2968907,95200,4830,2018-12-28,12,2018,835000,1944,0,-122.3797523,47.56437589999999
2938555,221170,60,2018-06-25,6,2018,1300000,1985,0,-122.11889,47.5627939
2965134,73610,180,2018-11-26,11,2018,6000000,2005,0,-122.226328,47.5246606
2965134,73610,180,2018-11-26,11,2018,6000000,1940,2004,-122.226328,47.5246606
2951371,711650,415,2018-09-05,9,2018,252000,1913,0,-122.2228612,47.301741
2958089,326830,115,2018-10-02,10,2018,2595000,2e3,0,-122.2023489,47.5910245
2938457,179636,1230,2018-06-25,6,2018,295000,1984,0,-122.0895984,47.3669218
2948161,674670,896,2018-08-14,8,2018,769000,2006,0,-122.3161095,47.6651948
2953075,147159,30,2018-09-12,9,2018,999000,1998,0,-122.1498966,47.6794384
2950524,983930,1080,2018-08-22,8,2018,785000,1908,0,-122.2931276,47.61152509999999
2953458,326530,410,2018-09-18,9,2018,939000,1951,0,-122.3081595,47.6995792
2958875,132170,450,2018-10-16,10,2018,450000,1990,0,-122.3460412,47.293343
2923664,868226,10,2018-04-04,4,2018,1300000,2004,0,-122.0335735,47.7112124
2942680,132834,300,2018-07-09,7,2018,520000,1981,0,-122.1354497,47.4433876
2960882,891410,40,2018-10-31,10,2018,650000,1993,0,-122.1518281,47.4596981
2929779,370590,47,2018-05-11,5,2018,600000,1969,0,-122.3391699,47.762809
2944269,425090,95,2018-07-23,7,2018,655000,1958,0,-122.3029532,47.7250719
2920702,546920,30,2018-03-09,3,2018,518000,1964,0,-122.331075,47.7439688
2968173,884240,5,2018-12-19,12,2018,512000,1960,0,-122.2857216,47.5333414
2954572,934870,270,2018-09-19,9,2018,1100000,2007,0,-122.1078359,47.7066099
2926892,946470,120,2018-04-20,4,2018,1380000,1979,0,-122.1495072,47.6435889
2941130,535020,740,2018-07-01,7,2018,5100000,1929,0,-122.2845943,47.6141757
2929881,769545,50,2018-05-09,5,2018,10,1979,0,-122.3207428,47.3568136
2962322,873199,120,2018-11-08,11,2018,567000,1978,0,-122.3849228,47.3224993
2960333,192309,9011,2018-10-26,10,2018,960000,2001,0,-121.7155667,47.4579306
2947421,178540,330,2018-08-10,8,2018,810000,1983,0,-122.0367112,47.6292074
2959240,926280,98,2018-10-23,10,2018,516950,1982,0,-122.267885,47.3148469
2935968,935800,1730,2018-06-06,6,2018,625000,1999,0,-122.3657155,47.5659895
2962340,892810,155,2018-11-09,11,2018,875000,1944,0,-122.2713626,47.6826483
2961051,444380,1615,2018-11-02,11,2018,675000,1925,0,-122.3895039,47.6875884
2965458,102107,9028,2018-11-27,11,2018,305000,1928,0,-121.8936111,47.3263487
2915297,660023,30,2018-02-09,2,2018,315500,1993,0,-122.2533678,47.2696229
2962676,182305,9111,2018-11-18,11,2018,305000,1941,0,-122.2188943,47.4837943
2956085,661000,1010,2018-10-01,10,2018,1230000,1912,0,-122.3557418,47.661357
2946659,232305,9050,2018-08-02,8,2018,140000,1945,0,-122.1333325,47.4665105
2949289,752370,85,2018-08-14,8,2018,389950,1958,0,-122.3063819,47.3789338
2956660,259900,1160,2018-09-28,9,2018,344000,1961,0,-122.1882851,47.2902368
2938515,133070,130,2018-06-21,6,2018,520000,1991,0,-122.1913428,47.3209262
2917946,407320,1265,2018-03-04,3,2018,1100000,1990,0,-122.2745788,47.7043618
2951039,894432,260,2018-08-24,8,2018,419000,1989,0,-122.154208,47.388547
2966120,670590,190,2018-12-04,12,2018,470000,1990,0,-122.1646812,47.3659753
2963749,766370,494,2018-11-16,11,2018,485000,1939,0,-122.2989913,47.732195
2936100,864550,310,2018-06-08,6,2018,457500,1978,0,-122.1833317,47.4666264
2923754,950810,35,2018-04-06,4,2018,680623,1954,0,-122.3607782,47.7636416
2926906,630590,170,2018-04-20,4,2018,654000,1990,0,-122.17845989999999,47.3889408
2951848,252603,9113,2018-09-04,9,2018,1060000,2007,0,-122.3680874,47.7163051
2919635,794114,30,2018-03-07,3,2018,603000,1984,0,-122.2026419,47.716309
2934792,858140,306,2018-06-04,6,2018,205000,1946,0,-122.2254996,47.2962013
2941533,880590,70,2018-07-09,7,2018,1045000,1925,0,-122.3018062,47.6429203
2930380,713780,190,2018-04-27,4,2018,373500,1964,0,-122.3520187,47.2818625
2930277,795480,10,2018-05-08,5,2018,625000,1969,0,-122.2347823,47.7304485
2953527,106150,190,2018-09-17,9,2018,495000,1963,0,-122.1672299,47.50259860000001
2932137,921150,260,2018-05-22,5,2018,369500,1978,0,-122.3812107,47.29868219999999
2943911,367440,105,2018-07-24,7,2018,240000,1954,0,-122.309496,47.33664
2967842,733460,630,2018-12-21,12,2018,418500,1973,0,-121.7460183,47.4699307
2953052,92406,9215,2018-09-13,9,2018,990000,1978,0,-122.0414941,47.5765007
2947450,357480,1730,2018-07-27,7,2018,709000,1985,0,-122.226406,47.73127299999999
2960314,279490,70,2018-10-30,10,2018,1700000,1972,0,-122.1600389,47.6398648
2967885,531610,645,2018-12-23,12,2018,2000000,1926,0,-122.2818202,47.6307961
